<GroupID>,<UserID>,<MemberIsGroup>
8,3,NO
8,20,NO
8,241,NO
12,13,NO
17,2,NO
17,20,NO
17,21,NO
17,22,NO
17,23,NO
18,2,NO
19,15,NO
82,22,NO
82,23,NO
83,81,NO
83,80,NO
83,21,NO
84,22,NO
85,23,NO
86,22,NO
86,80,NO
88,22,NO
88,23,NO
89,80,NO
89,81,NO
89,21,NO
90,22,NO
90,23,NO
91,80,NO
91,81,NO
91,21,NO
92,22,NO
92,23,NO
93,80,NO
93,81,NO
93,21,NO
95,22,NO
96,23,NO
97,22,NO
98,23,NO
99,22,NO
100,23,NO
101,22,NO
101,23,NO
102,80,NO
102,81,NO
102,21,NO
103,22,NO
103,23,NO
104,80,NO
104,81,NO
104,21,NO
105,106,NO
107,106,NO
109,106,NO
111,106,NO
113,106,NO
115,106,NO
117,106,NO
118,106,NO
119,106,NO
120,106,NO
120,21,NO
121,22,NO
121,23,NO
122,80,NO
122,81,NO
122,21,NO
123,22,NO
123,23,NO
124,80,NO
124,81,NO
124,21,NO
125,22,NO
125,23,NO
126,80,NO
126,81,NO
126,21,NO
127,22,NO
127,23,NO
128,80,NO
128,81,NO
128,21,NO
129,22,NO
129,23,NO
130,80,NO
130,81,NO
130,21,NO
136,131,NO
137,133,NO
137,135,NO
138,106,NO
139,131,NO
140,106,NO
141,133,NO
141,135,NO
142,106,NO
143,131,NO
144,106,NO
145,133,NO
146,106,NO
147,133,NO
148,106,NO
149,133,NO
149,135,NO
150,106,NO
151,133,NO
151,135,NO
152,106,NO
154,106,NO
155,133,NO
155,131,NO
156,106,NO
157,133,NO
158,106,NO
159,133,NO
160,106,NO
162,106,NO
164,106,NO
166,106,NO
168,106,NO
169,133,NO
170,106,NO
171,133,NO
172,106,NO
174,106,NO
175,133,NO
176,106,NO
177,106,NO
178,106,NO
179,106,NO
180,131,NO
181,133,NO
182,131,NO
183,131,NO
184,131,NO
185,131,NO
186,131,NO
187,135,NO
187,132,NO
188,131,NO
189,133,NO
189,131,NO
189,132,NO
190,131,NO
191,135,NO
191,132,NO
191,134,NO
191,131,NO
192,131,NO
193,131,NO
194,131,NO
195,133,NO
195,131,NO
195,134,NO
196,131,NO
197,131,NO
198,133,NO
199,133,NO
200,133,NO
202,131,NO
203,131,NO
203,133,NO
204,22,NO
204,23,NO
205,80,NO
205,81,NO
205,21,NO
207,22,NO
207,23,NO
208,80,NO
208,81,NO
208,21,NO
209,22,NO
209,23,NO
210,80,NO
210,81,NO
210,21,NO
211,22,NO
211,23,NO
212,80,NO
212,81,NO
212,21,NO
213,22,NO
213,23,NO
214,80,NO
214,81,NO
214,21,NO
215,22,NO
215,23,NO
216,80,NO
216,81,NO
216,21,NO
217,22,NO
217,23,NO
218,80,NO
218,81,NO
218,21,NO
219,22,NO
219,23,NO
220,80,NO
220,81,NO
220,21,NO
221,22,NO
221,23,NO
222,80,NO
222,81,NO
222,21,NO
223,22,NO
223,23,NO
224,80,NO
224,81,NO
224,21,NO
225,22,NO
225,23,NO
226,80,NO
226,81,NO
226,21,NO
227,22,NO
227,23,NO
228,80,NO
228,81,NO
228,21,NO
229,22,NO
229,23,NO
230,80,NO
230,81,NO
230,21,NO
231,22,NO
231,23,NO
232,80,NO
232,81,NO
232,21,NO
233,22,NO
233,23,NO
234,80,NO
234,81,NO
234,21,NO
235,131,NO
236,133,NO
236,131,NO
237,22,NO
237,23,NO
238,80,NO
238,81,NO
238,21,NO
239,22,NO
239,23,NO
240,80,NO
240,81,NO
240,21,NO
7,1,NO
9,4,NO
10,6,NO
11,2,NO
11,20,NO
11,21,NO
11,106,NO
